year,ACCESS1-0_historical_r1i1p1-growing_season_lngth,bcc-csm1-1_historical_r1i1p1-growing_season_lngth,BNU-ESM_historical_r1i1p1-growing_season_lngth,CanESM2_historical_r1i1p1-growing_season_lngth,CCSM4_historical_r1i1p1-growing_season_lngth,CESM1-BGC_historical_r1i1p1-growing_season_lngth,CNRM-CM5_historical_r1i1p1-growing_season_lngth,CSIRO-Mk3-6-0_historical_r1i1p1-growing_season_lngth,GFDL-CM3_historical_r1i1p1-growing_season_lngth,GFDL-ESM2G_historical_r1i1p1-growing_season_lngth,GFDL-ESM2M_historical_r1i1p1-growing_season_lngth,inmcm4_historical_r1i1p1-growing_season_lngth,IPSL-CM5A-LR_historical_r1i1p1-growing_season_lngth,IPSL-CM5A-MR_historical_r1i1p1-growing_season_lngth,MIROC-ESM-CHEM_historical_r1i1p1-growing_season_lngth,MIROC-ESM_historical_r1i1p1-growing_season_lngth,MIROC5_historical_r1i1p1-growing_season_lngth,MPI-ESM-LR_historical_r1i1p1-growing_season_lngth,MPI-ESM-MR_historical_r1i1p1-growing_season_lngth,MRI-CGCM3_historical_r1i1p1-growing_season_lngth,NorESM1-M_historical_r1i1p1-growing_season_lngth
1994,352.55386,330.78854,343.1339,354.90558,352.6086,365.0,342.33484,357.1255,350.01456,356.62363,365.0,354.90262,362.00665,359.75125,340.11917,349.4109,344.9969,359.57797,354.59735,315.63446,342.65427
1995,363.5139,350.3434,342.61618,342.77628,365.0,335.557,355.69397,357.444,361.3321,329.51865,345.24197,321.71085,343.03143,363.3456,300.25793,341.20706,363.77902,363.65262,357.53125,363.4751,338.0237
1996,345.25235,349.01147,329.94315,334.36896,365.94604,366.0,362.48752,338.8955,351.31595,355.28955,349.3639,349.15268,359.7946,352.87036,323.69925,347.0153,366.0,342.4561,353.51508,345.24045,309.73322
1997,355.98566,352.3568,348.06937,335.75464,318.61618,354.34888,341.28223,335.77338,353.7281,364.08282,362.9842,339.52457,347.56934,349.89423,357.3661,362.51373,339.4059,358.50143,345.4725,353.51852,317.63138
1998,333.33615,343.6131,361.09772,350.99078,364.57648,351.06424,346.7735,337.21033,338.51663,359.74734,363.92676,328.8739,360.51105,365.0,325.20065,364.97302,344.0902,330.84415,337.8308,358.76678,359.822
1999,349.95306,353.0167,359.36108,346.90036,339.04944,363.94467,360.48215,359.09784,346.12204,343.9008,364.54282,334.71323,364.74298,363.19144,356.03098,352.65558,364.21695,364.8651,364.1155,351.50443,364.17355
2000,366.0,366.0,352.75793,356.67938,353.50046,365.78894,365.4142,338.1055,343.20114,354.18457,352.7471,363.0716,359.33423,317.91263,347.26175,364.11014,362.0891,360.1413,337.192,358.40805,354.63348
2001,355.09537,336.09387,322.5147,323.4863,341.29855,364.6763,354.16367,338.11646,357.7319,364.27567,358.57248,344.90414,365.0,337.49692,352.14468,342.83496,350.58032,330.95218,364.20193,328.63623,339.71652
2002,358.60883,353.794,352.64764,327.4136,351.40927,350.54367,363.0,353.43613,337.70734,363.25333,361.1658,350.675,354.88318,348.5368,365.0,352.52597,364.21338,362.82864,339.56335,344.75232,357.25818
2003,345.2836,358.6685,317.8981,338.6306,359.61942,339.05133,364.97302,345.43777,344.92307,360.0036,362.41537,354.95505,365.0,349.31906,359.57413,347.86172,358.7921,333.0975,364.85162,356.51016,347.2644
2004,345.57025,349.60056,351.1658,349.16644,356.52737,346.42474,331.16992,365.59537,350.98694,350.50266,355.20413,314.42856,354.09634,360.7572,363.6417,364.99414,344.83133,269.97556,338.03732,341.5167,325.31396
