year,ACCESS1-0_historical_r1i1p1-days_prcp_abv,bcc-csm1-1_historical_r1i1p1-days_prcp_abv,BNU-ESM_historical_r1i1p1-days_prcp_abv,CanESM2_historical_r1i1p1-days_prcp_abv,CCSM4_historical_r1i1p1-days_prcp_abv,CESM1-BGC_historical_r1i1p1-days_prcp_abv,CNRM-CM5_historical_r1i1p1-days_prcp_abv,CSIRO-Mk3-6-0_historical_r1i1p1-days_prcp_abv,GFDL-CM3_historical_r1i1p1-days_prcp_abv,GFDL-ESM2G_historical_r1i1p1-days_prcp_abv,GFDL-ESM2M_historical_r1i1p1-days_prcp_abv,inmcm4_historical_r1i1p1-days_prcp_abv,IPSL-CM5A-LR_historical_r1i1p1-days_prcp_abv,IPSL-CM5A-MR_historical_r1i1p1-days_prcp_abv,MIROC-ESM-CHEM_historical_r1i1p1-days_prcp_abv,MIROC-ESM_historical_r1i1p1-days_prcp_abv,MIROC5_historical_r1i1p1-days_prcp_abv,MPI-ESM-LR_historical_r1i1p1-days_prcp_abv,MPI-ESM-MR_historical_r1i1p1-days_prcp_abv,MRI-CGCM3_historical_r1i1p1-days_prcp_abv,NorESM1-M_historical_r1i1p1-days_prcp_abv
1994,7.477915,6.1338778,1.664274,5.8546543,4.1777434,3.4002104,7.0698867,5.33951,6.616324,5.666622,5.4848766,6.19933,15.633371,5.71321,7.162793,5.059785,2.293313,2.678026,8.473567,2.5424154,6.668158
1995,3.8019962,7.675906,5.9446454,10.609576,6.5677047,5.811417,7.1994653,3.6039672,5.3028135,10.7274475,7.8557396,1.7952328,6.402849,4.3907948,6.3969817,4.4214306,6.2684913,4.246729,6.9078608,5.2224026,5.7007837
1996,3.680005,13.08036,9.304653,8.752043,1.293236,7.7833824,7.8942013,3.2122648,5.4542603,11.113512,7.4603524,4.9109917,4.5481277,4.4338665,6.730504,2.618504,7.0094476,7.4309583,8.650485,9.3466015,7.3856344
1997,8.18257,9.948366,9.853473,5.6816783,6.1375556,6.6094747,5.690684,4.534384,4.73586,7.587942,7.46469,4.255643,7.442436,5.425334,4.770671,4.86397,6.0972633,7.408507,6.3188744,5.0549116,9.790967
1998,5.2884965,7.916472,7.5521216,5.4631476,4.4380236,2.2385058,7.88945,11.073788,6.0706425,6.4907684,6.061099,5.4965663,9.382218,4.2052813,6.310048,11.583224,6.8948097,9.141906,5.8964214,3.9318662,7.76341
1999,10.017583,9.001591,7.720128,4.6496997,3.5399513,3.2656605,7.725718,4.65115,7.3417845,6.1372933,4.7655115,7.275514,7.987918,4.65262,6.14131,9.344973,3.055817,10.24835,8.437118,4.8685055,9.197325
2000,7.6522484,8.965121,10.721263,6.4721303,5.8934116,5.1699986,4.6788874,6.1281786,5.1328745,4.1503096,11.105918,5.823184,7.960124,5.5672507,6.7432594,8.141169,3.3414314,5.4568377,11.454226,2.541034,6.3549194
2001,6.8284655,8.786856,8.689828,9.336944,10.826014,12.28052,4.9848742,4.5282454,11.261065,6.7601247,4.283494,8.900346,7.912813,3.728151,8.746609,4.451011,5.324886,9.006921,16.099018,6.991807,6.8136334
2002,6.565321,7.723191,6.9791346,6.0976357,13.923283,6.001322,2.3317206,3.580105,8.303886,10.198904,5.8757887,4.9946485,8.235636,5.1625996,5.3476415,8.727305,4.06771,7.670493,7.1246834,11.462916,6.353768
2003,8.775494,5.656912,5.451776,5.541374,7.9903827,0.6979121,13.910482,6.7787256,7.636016,5.2592106,8.140957,4.014294,3.707733,4.770392,8.333624,6.1537247,9.95527,5.660656,3.0366836,7.3282237,5.805149
2004,5.77,7.8918767,5.9424157,10.4864025,10.829753,5.10063,5.592944,12.568097,4.369289,9.633196,8.467723,4.436196,5.231321,3.2884402,8.691994,6.5931835,7.0613413,9.383912,4.0853443,7.1197762,10.95519
