year,ACCESS1-0_historical_r1i1p1-growing_degree_day,bcc-csm1-1_historical_r1i1p1-growing_degree_day,BNU-ESM_historical_r1i1p1-growing_degree_day,CanESM2_historical_r1i1p1-growing_degree_day,CCSM4_historical_r1i1p1-growing_degree_day,CESM1-BGC_historical_r1i1p1-growing_degree_day,CNRM-CM5_historical_r1i1p1-growing_degree_day,CSIRO-Mk3-6-0_historical_r1i1p1-growing_degree_day,GFDL-CM3_historical_r1i1p1-growing_degree_day,GFDL-ESM2G_historical_r1i1p1-growing_degree_day,GFDL-ESM2M_historical_r1i1p1-growing_degree_day,inmcm4_historical_r1i1p1-growing_degree_day,IPSL-CM5A-LR_historical_r1i1p1-growing_degree_day,IPSL-CM5A-MR_historical_r1i1p1-growing_degree_day,MIROC-ESM-CHEM_historical_r1i1p1-growing_degree_day,MIROC-ESM_historical_r1i1p1-growing_degree_day,MIROC5_historical_r1i1p1-growing_degree_day,MPI-ESM-LR_historical_r1i1p1-growing_degree_day,MPI-ESM-MR_historical_r1i1p1-growing_degree_day,MRI-CGCM3_historical_r1i1p1-growing_degree_day,NorESM1-M_historical_r1i1p1-growing_degree_day
1994,675.3201,855.1573,900.0425,694.25494,776.8615,763.6708,677.3542,697.804,781.1119,700.6811,832.74756,775.2483,675.20874,693.62726,665.7028,616.2573,740.28265,791.9301,667.958,671.2333,873.70557
1995,698.69324,650.66034,768.5381,622.2103,804.8486,620.08673,724.56,781.29407,833.4336,686.89734,677.5225,749.2414,895.45825,651.43317,768.1631,699.7335,718.3407,883.412,717.7191,694.2664,678.8504
1996,839.41345,618.87286,795.3295,731.2108,899.7657,685.8969,647.96014,775.7981,704.3921,738.7557,588.39746,741.9266,832.1547,796.70056,724.7995,799.3416,588.7282,884.68774,701.7864,799.2672,692.17206
1997,795.1678,610.9257,753.5528,777.45325,800.53613,774.62384,625.0117,735.7501,794.5789,799.362,725.8503,851.3873,829.84485,755.6527,763.34906,834.3373,823.97986,876.0472,759.402,740.2218,668.01483
1998,761.44824,701.9608,814.59,814.66644,824.3061,950.7916,735.57745,653.7846,739.53784,699.0597,636.4335,830.6916,876.9375,873.2736,717.19824,715.724,679.9501,853.6914,733.7565,690.0462,688.2095
1999,847.3082,853.38007,837.72504,687.83093,881.17053,838.13354,688.47565,837.53345,737.0803,708.4711,727.97064,708.6942,878.49207,886.4488,775.7486,789.96436,793.9152,785.5652,838.2087,772.2311,722.5103
2000,862.5936,822.312,867.6375,832.5254,906.417,784.693,935.5634,845.8912,718.5,769.59845,734.34015,933.1946,870.5138,761.96716,708.61566,743.8039,731.292,939.9536,846.1016,693.6172,781.4492
2001,767.20905,764.5733,777.0035,734.9026,740.8041,664.09247,762.5268,791.7007,686.27606,867.32513,804.3943,743.25244,813.81104,826.2532,709.7378,852.87524,815.4622,828.89954,786.4002,734.9532,868.2136
2002,726.9635,730.2207,833.7403,835.8718,821.6239,806.1417,759.9694,770.3554,787.03467,784.33777,685.5578,685.2737,816.14526,848.0441,683.79626,701.37994,807.92993,888.3451,831.2798,725.2778,826.601
2003,831.776,770.16925,919.3969,784.2647,765.2386,803.27966,767.32513,845.4245,740.8025,751.70514,782.9735,724.5998,826.85504,738.1708,795.41986,717.5317,762.04205,827.182,933.72284,769.0387,710.125
2004,783.1867,862.14734,1011.2271,789.316,758.20355,759.50037,706.86206,814.56854,905.4938,814.1177,858.3576,838.46204,806.97003,726.8752,746.62164,699.40216,872.1329,795.1191,868.0736,710.7305,716.2358
