year,BCCA_0-125deg_tasmin_day_ACCESS1-0_historical_r1i1p1,BCCA_0-125deg_tasmin_day_BNU-ESM_historical_r1i1p1,BCCA_0-125deg_tasmin_day_CCSM4_historical_r1i1p1,BCCA_0-125deg_tasmin_day_CESM1-BGC_historical_r1i1p1,BCCA_0-125deg_tasmin_day_CNRM-CM5_historical_r1i1p1,BCCA_0-125deg_tasmin_day_CSIRO-Mk3-6-0_historical_r1i1p1,BCCA_0-125deg_tasmin_day_CanESM2_historical_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-CM3_historical_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-ESM2G_historical_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-ESM2M_historical_r1i1p1,BCCA_0-125deg_tasmin_day_IPSL-CM5A-LR_historical_r1i1p1,BCCA_0-125deg_tasmin_day_IPSL-CM5A-MR_historical_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC-ESM-CHEM_historical_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC-ESM_historical_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC5_historical_r1i1p1,BCCA_0-125deg_tasmin_day_MPI-ESM-LR_historical_r1i1p1,BCCA_0-125deg_tasmin_day_MPI-ESM-MR_historical_r1i1p1,BCCA_0-125deg_tasmin_day_MRI-CGCM3_historical_r1i1p1,BCCA_0-125deg_tasmin_day_NorESM1-M_historical_r1i1p1,BCCA_0-125deg_tasmin_day_bcc-csm1-1_historical_r1i1p1,BCCA_0-125deg_tasmin_day_inmcm4_historical_r1i1p1
1982,5.8200583,5.496648,5.8381844,5.1331034,6.364757,5.4395185,5.0862985,5.3554616,6.1693735,5.2403927,5.8744197,5.656761,6.712556,5.294561,5.140899,6.286501,4.948666,5.657053,6.881369,5.450813,5.7175913
1983,5.1790247,5.1096873,4.967382,5.4711943,5.164261,5.918861,5.9978175,5.94548,4.6849833,5.2382464,5.3362937,5.23087,5.722375,5.616113,5.34357,4.5555606,6.4328823,5.1055756,5.656794,4.9684596,5.978663
1984,6.4617476,5.761302,4.8068724,5.7263403,5.6551237,6.1026955,5.294552,5.2073083,5.6895843,5.0794487,4.8930964,4.537725,6.744546,4.817084,5.36676,6.323486,6.4372,4.814403,5.697974,5.3183966,6.6492343
1985,4.159715,6.1103477,5.6805754,5.3440413,5.757897,5.3825855,5.9764624,5.610783,5.60118,5.889863,5.7775803,5.514046,6.0265083,4.887441,5.9872203,6.527778,5.390866,5.4792075,5.7650814,6.3112283,5.7793975
1986,5.906164,6.815425,6.875657,6.4217954,4.662865,6.084368,6.368528,6.0449805,5.4540277,6.720738,5.7379317,5.12337,6.155533,5.391816,6.4887013,6.0345707,5.701078,5.1656585,5.0560975,5.884332,6.5705223
1987,5.007861,4.7232637,5.2580795,6.373177,5.7835803,5.5926905,6.118739,5.9182534,6.0299,6.320241,6.3131084,6.04594,6.0445166,5.472396,6.239949,6.2251844,5.884373,4.8922696,6.1298594,6.4192567,5.5043902
1988,6.450074,5.8807697,4.551322,5.817934,5.5616612,5.342945,6.2056417,4.4520826,5.766832,5.271824,6.59828,5.7105365,4.455987,6.0172405,5.4130554,5.2133584,5.9927425,5.851742,6.0183554,5.451226,5.8327837
1989,6.695406,5.665706,6.1098285,5.548455,6.2113466,5.7538443,6.299702,6.7509527,6.2377863,5.319005,6.7020707,6.155141,5.250394,4.686191,6.3806534,6.671931,5.173586,5.8502393,6.0674872,6.285656,5.316805
1990,6.1118803,6.9069643,5.6306963,6.470848,4.9099264,6.1446753,5.422902,5.776009,5.956975,6.312514,5.848438,7.1443043,5.5959487,5.0690937,5.7687683,7.3712053,5.281579,5.1520085,5.695582,6.118738,4.9696703
1991,6.202582,5.9414587,6.283097,5.6131935,5.1669283,6.1977587,6.4741693,5.4249053,6.328094,6.3048186,6.9896765,6.510272,5.751257,7.3061695,5.6555343,5.450967,7.761356,6.2941346,6.8560348,6.6058173,5.897769
1992,6.5629344,4.77567,4.6802754,4.394815,5.141437,5.159912,5.2237916,5.0750904,5.142768,4.733836,6.982704,4.982258,5.877699,5.7036963,5.095319,5.8868685,6.0336995,5.352863,4.7346196,4.8763,4.8416443
1993,5.5184736,5.9135876,4.8095064,5.79098,5.958164,5.5126414,5.203014,5.633568,4.946401,5.8375516,6.5804086,5.944389,5.499654,5.989536,5.152553,5.610939,5.528009,6.1459126,5.033348,5.931798,5.8501306
1994,5.315269,6.4474893,6.0899673,6.6535435,6.007691,5.707194,6.853115,5.3382616,6.1693497,6.299335,5.7382274,6.1735115,5.5236983,6.2365804,5.4632545,5.2431035,4.6470613,4.988521,5.728962,5.5928025,5.563659
1995,5.849804,5.873017,6.5377417,5.6999636,5.7996793,6.1689243,5.911494,6.333721,5.700294,6.4052906,5.337502,5.557832,5.4295363,6.125785,6.2740893,6.735781,6.3587995,5.340366,5.3700976,4.9817886,5.419615
1996,6.8546915,5.7473984,7.207711,5.81804,6.373009,5.7382774,6.33082,5.2397914,6.700493,5.542242,6.580622,6.5604987,5.203322,5.991473,5.2983522,6.555031,5.690934,5.976087,4.850494,6.287213,6.166153
1997,7.0232644,6.157021,6.3682218,5.377733,5.3844905,5.6874843,6.2269363,5.783439,5.977046,5.751541,6.8649154,6.3712096,6.610791,6.365102,6.183803,7.2931237,5.960612,5.80598,5.828616,5.37691,5.423729
1998,6.058856,6.8676567,6.8496094,6.5660267,6.0183225,5.696275,6.292386,5.8382573,6.002148,6.0180326,5.8395553,7.117549,6.009494,6.847361,6.0713983,5.925178,5.740725,5.5571337,6.248432,5.5583534,5.3731513
1999,7.1379924,6.73399,6.4361925,6.80125,6.485221,6.6598787,5.90094,5.3639107,5.440461,6.19344,6.9570336,6.469884,5.6929555,6.7728586,6.4189563,5.9393973,6.5847015,6.3329253,6.831789,5.924796,5.527316
2000,7.4421034,5.8877144,6.6586266,6.370291,6.488887,5.7532935,6.6765513,4.951981,6.159235,6.414946,6.941659,5.9937935,5.499879,6.549253,5.4266357,7.041682,6.349098,5.611679,5.5483155,5.8604655,6.6019254
2001,5.5424137,5.4141974,6.4568653,5.6783566,6.4955006,5.663983,5.1368027,5.330038,6.875049,6.1920266,6.6444635,6.4721446,5.541367,6.490021,5.6966257,5.9777765,7.205089,6.4792747,7.166108,6.2457614,5.8412547
2002,6.341138,6.804352,5.658333,6.5868616,5.765445,6.4295893,6.542651,5.8317957,6.2941217,5.671175,6.5867624,6.780054,5.875009,6.2817874,6.8079233,7.5223293,5.7206063,6.0118456,6.463308,5.272521,5.860336
2003,5.3801103,6.692226,6.943981,6.0110626,7.741795,5.9654455,5.462303,5.7635193,6.295014,5.667819,6.821955,5.228347,6.1665154,5.7084837,6.3673625,5.8750415,7.301387,5.540289,5.5509586,5.998198,6.13484
2004,5.638021,7.0186906,5.851562,5.5555964,5.800196,6.8264737,6.172939,6.0629005,7.250642,7.146831,5.7289968,5.3306627,6.5347366,5.9617467,6.7975807,4.9481626,6.4845285,6.1293707,5.398328,5.566281,5.4248614
2005,5.642734,6.229776,6.21068,7.2290654,6.692132,7.053831,6.5660486,7.081584,6.8567705,5.7350917,5.919584,5.918804,5.0464535,5.899819,5.902527,7.5307884,8.418776,6.2307205,5.999816,6.269588,6.619718
